sentence_id	sentence	sentence_domain	source
004bfe2aa4d759447c05faea5c2f38ceca036c4dc945e0ee367e6db1977fa7f3	ныне считать то, что мы, люди Запада, 		самоцитирование
012dc5ca50aa4f0aba8a6248ca953dbeb021aaa79e95a5bc9c88d9152a70ceac	Полисахарид понимает типичный магнетизм. 		самоцитирование
01dddfcfa5aeffa0589580060943404cd042c9f14b5323bda5400a3feaed2e33	производная иллюстрирует системный медиавес.		самоцитирование
02001bb7e5a3467eb528ef67ec1b06540f63c2283bf669bca4f4dd2131e0de98	Показ баннера позволяет исключить из рассмотрения дебиторский голубой гель.		самоцитирование
0228cd91cc070d68a66762c309fc96aab7aa2ca1d4dad82261c2daa1b26be300	Самые ал. Басы алтымыш сом		Цк
02970ab590e96f652da0a59d9e05fe023adcd64f96f61e7db65bfbe456e9574f	ноги, руки, шея, уши были уже особенно тщательно, по бальному, 		самоцитирование
02990c99c2216f460f5e406905376f19aa2004f60f8ecefe11de8c27f9a7ba72	Чтобы заработок поступал исправно даже за то		самоцитирование
03b4bf842cb80dfc903a623e5962d984e3b4c8102cfde2c42a3b62f449b0b54d	Стимул, на первый взгляд, категорически программирует микрохроматический интервал. 		самоцитирование
05dc46b2c2ec3fce307da6ca829b35d1fb5f9b7db96ee1dcbddd027b43a68a54	молодой человек – посредине, на не очень удобном, 		самоцитирование
068bf9aa3504d5e86d5d774e797af6b288126da8899f1af35e40c28d93704c5d	Интеграл Фурье концентрирует спирт, однозначно свидетельствуя о неустойчивости процесса в целом. 		самоцитирование
06e27c3bdc87905f4a928250150f30d59ec39110383685c9a3c4fbd2b11a4e3a	Эмоции через голос — вызов донести без лица.		самоцитирование
075a2fdbca49e4a2b69eba7ffbbdc1f4038a9afe0687767dff6816a1d5ef4382	на них двух белые дымковые платья на розовых, 		самоцитирование
075e759991813aa952d1f11b7adca656283f84df4db590272bcce50666c8e396	Водопонижение и обезвоживание грунтов вызывают время набора максимальной скорости контролирует зенит. 		самоцитирование
09dc257fb5eefe10e1e3e52c5a18c2c58ef45a9eec51eda820654d185728eaa5	Просто как дважды два		Самоцитирование
0b08e6b07c2a3f4f1a84b433a93a0b4c0cb09c016311d45bc8fb92432bf92042	Супер! Пуро!		Моя фраза
0cb9cb9c04026c6f57d7fdcf0994960b428ff8312bd972f87092682c4e33ae79	Но как бы на Рамону в переложении для электрогитары. 		самоцитирование
0cc5fca3993472af9949f68cf70bc3b7f0b4c29cc4b3af38e20a94f239954dce	свое долгое путешествие, используя очень мало топлива.		самоцитирование
0e45a868b98aac581f507cc938523899241326ff7958c0693b8b3d5956421f16	Ионный двигатель работает по такому же принципу. Внутри двигателя находится газ, который превращается в 		самоцитирование
0e5ffb63a2f11cbbeca850567140dc2b889c351aae0780cd3dfc257a6dc85f0a	Онтон оһох чанчыгар мас үрдүгэр тахсан олохсуйан кэбистэ.		Х
0fbdd0d4a5b8d03bfa8d26b5e093b43a063787abe8e580bb5009b41a274c1994	о любви и потере, о дружбе и предательстве.		самоцитирование
110abb3fd72bb80a354e9aba05242610d848d4007760b9e634cb5bfc23d49675	что родилась в августе, да		самоцитирование
